m/z_RT_node,CNAT12_TV104__WC,CNAT1_TV105__WC,CNAT9_TV106__WC,MCAV1_TV107__WC,MCAV2_TV108__WC,MCAV3_TV109__WC,MCAV6_TV110__WC,MMEA14_TV103__WC,MMEA202_TV100_WC,MMEA24_TV99__WC,MMEA2_TV102__WC,OFAV12_TV113__WC,OFAV2_TV111__WC,OFAV3_TV112__WC,OFAV7_TV114__WC
,CNAT,CNAT,CNAT,MCAV,MCAV,MCAV,MCAV,MMEA,MMEA,MMEA,MMEA,OFAV,OFAV,OFAV,OFAV
484.364_12.4_2835,0,2762175.935,282171.4585,0,1.15E+07,0,0,570966.221,0,32055.106,481105.452,529304.885,383704.947,323956.36,0
623.286_16.8_2017,0,18891.3815,0,115382.386,782334.1365,0,0,87264.489,0,9757.3,117474.392,23957.479,15335.8565,0,0
816.597_19.1_6274,0,4857556.117,3260098.898,0,16775.857,0,1.57E+07,2.49E+07,1.05E+07,1.67E+07,6037213.41,0,0,0,0
524.371_13.9_549,41394.2325,1.74E+07,1172704.946,2.10E+08,43861.617,1.50E+08,1.47E+08,1342937.574,2.44E+07,6.04E+07,3.37E+07,9.96E+07,1.24E+07,2.26E+07,5.56E+07
684.013_7.9_1590,0,0,0,861366.297,0,0,231118.1725,0,0,0,0,0,0,0,0
361.237_8.9_5069,0,316970.591,200801.4105,945319.3515,8473.311,233538.159,53251.279,210304.13,131867.4055,0,135816.374,174099.5885,77322.717,42936.571,25932.539
494.361_15.7_3959,0,0,37814.9665,501689.4405,0,0,0,55412.38,118704.941,147755.133,59553.7865,146302.59,0,0,9557.264
377.32_19.7_2101,0,0,0,50754.5845,341131.788,0,43367.3485,11923.1165,0,0,81701.9305,0,0,0,0
351.216_11.1_3702,0,0,141701.3575,0,127334.2325,813548.255,51338.418,184223.9735,9373.59,0,58744.917,9030.99,0,669097.4875,885581.03
810.621_20.8_4532,0,0,0,0,0,0,0,284450.0255,0,0,95720.4205,41715.079,0,125035.6915,0
552.332_13.9_3581,39423.0485,15399.568,55283.0475,1185839.526,0,996473.586,212573.649,0,641265.795,0,36447.695,216903.5845,131213.2225,0,53847.503
518.405_16.2_1325,0,0,0,4435123.318,91295.5235,725263.6675,0,0,0,0,0,0,0,1305068.644,0
331.263_14_4798,0,0,0,1377214.996,2910549.622,24064.3385,1327512.517,474322.193,118749.682,158172.428,47917.6625,40583.627,42733.4025,122594.3055,9791.249
769.488_16.7_1358,0,55978.5885,0,1464479.719,0,0,829476.677,177451.944,37064.683,156703.907,488996.998,0,0,102954.409,0
520.34_12.2_2703,45328.39,8195870.101,1805013.783,0,2267241.031,326227.03,2464661.713,5348251.553,720132.4095,7264964.664,7200538.823,6793830.765,2702925.306,4450454.835,1518779.713
746.603_19.8_4610,229714.4145,19426.514,0,0,0,507341.2295,48814.425,10405.784,0,28694.2165,0,16059.834,131536.4735,0,39162.87
274.673_14.3_1842,30105.753,317135.748,228425.0685,276961.5405,14569.634,533485.739,478964.74,603608.6595,425325.475,528186.26,544148.285,346221.6185,153481.1915,62052.8095,42189.109
354.264_12.3_5794,0,0,47470.7235,0,0,0,0,0,0,0,0,0,0,0,18362.869
387.25_13.6_2250,0,0,0,21248.0645,72766.679,18431.462,55258.601,17141.094,0,0,0,1423638.995,0,0,0
608.429_15.2_674,230888.707,0,2410978.343,1115386.415,38883.3235,1465948.42,0,1288661.255,947571.704,1563598.779,114454.022,69367.8385,217545.591,1950776.298,2382517.182
477.126_16.5_1304,0,0,0,523944.9515,0,0,116022.564,0,0,0,0,0,0,0,0
397.313_15.4_3845,0,22964.715,0,0,1308817.135,520399.383,0,0,140981.519,0,75100.6385,0,0,0,0
220.112_24.9_827,231781.5585,68880.3655,76189.861,102276.329,7799.328,0,7311.841,734576.2855,0,29461.914,171959.6335,42130.949,6622.148,0,6720.274
365.268_15.2_4354,0,0,27019.735,0,26937.9895,644720.1955,86886.224,477065.647,204323.712,191558.3365,73958.332,0,0,0,0
482.361_14.2_3511,0,399883.141,54756.576,4174024.411,706582.255,1507651.49,3059389.356,2504755.532,176471.5215,256303.322,378745.5595,3791280.415,22925.4955,339056.443,1051785.136
659.673_8.5_3397,0,0,0,753128.2755,0,60537.4315,0,0,0,0,0,186163.3285,0,0,6782.345
524.37_11.3_6080,0,0,0,0,0,2868506.787,0,0,0,0,0,0,0,0,186140.0725
